cluster_uuid,center_lat,center_lon,singular,plural,combined_dict,is_dump,combined_string
1fe0758d-bd6e-4667-a41a-ff4388bf7e3f,52.463909722222226,4.825729166666667,2,0,"{'softdrinks.energy_can': 1, 'brands.redbull': 1, 'smoking.cigaretteBox': 1}",False,"softdrinks.energy_can 1, brands.redbull 1, smoking.cigaretteBox 1"
1fed9e8f-75e5-4298-873a-4c3a2d0f1a09,55.4598875,-5.712745,1,1,"{'coastal.balloons': 1, 'softdrinks.milk_bottle': 1}",True,"coastal.balloons 1, softdrinks.milk_bottle 1"
1ff45706-89f2-45e1-9386-1b466541c6c1,18.188544444444442,-65.72462245370372,14,1,"{'food.crisp_small': 1, 'food.napkins': 2, 'other.plastic': 2, 'alcohol.brokenGlass': 2, 'softdrinks.plastic_cups': 1, 'other.paper': 2, 'food.plasticFoodPackaging': 1, 'smoking.cigaretteBox': 1, 'softdrinks.fizzyDrinkBottle': 1, 'other.metal': 1, 'softdrinks.waterBottle': 1}",True,"food.crisp_small 1, food.napkins 2, other.plastic 2, alcohol.brokenGlass 2, softdrinks.plastic_cups 1, other.paper 2, food.plasticFoodPackaging 1, smoking.cigaretteBox 1, softdrinks.fizzyDrinkBottle 1, other.metal 1, softdrinks.waterBottle 1"
200940b1-e303-45a9-86b9-21ee7aebf3ab,39.37372589111328,-76.58857727050781,1,1,"{'smoking.butts': 1, 'other.other': 1}",True,"smoking.butts 1, other.other 1"
200de3e7-c3ff-46f3-9776-d2eff74c58d0,52.48789166666667,4.6286055555555565,1,0,{'other.plastic': 1},False,other.plastic 1
201501ae-3f54-42f2-b065-281d49c05715,52.50477600097656,-2.932691812515259,1,0,{'softdrinks.bottleLid': 1},False,softdrinks.bottleLid 1
202bd3de-89b8-4714-9499-8fcc1338666c,-30.11174859126984,153.19439386904762,14,1,"{'other.paper': 1, 'alcohol.spiritBottle': 1, 'alcohol.alcoholOther': 1, 'smoking.butts': 4, 'alcohol.brokenGlass': 1, 'other.plastic': 3, 'softdrinks.bottleLid': 1, 'alcohol.beerBottle': 1, 'food.sweetWrappers': 1, 'sanitary.wetwipes': 1}",True,"other.paper 1, alcohol.spiritBottle 1, alcohol.alcoholOther 1, smoking.butts 4, alcohol.brokenGlass 1, other.plastic 3, softdrinks.bottleLid 1, alcohol.beerBottle 1, food.sweetWrappers 1, sanitary.wetwipes 1"
204dd71a-f5c9-47b3-81cf-831e030a34ca,52.51148611111101,5.0425777777778,1,0,{'sanitary.facemask': 1},False,sanitary.facemask 1
205b8cf0-4445-4c16-bf09-bcd50c780019,52.512069444444435,4.720925,1,0,"{'softdrinks.energy_can': 1, 'brands.redbull': 1}",False,"softdrinks.energy_can 1, brands.redbull 1"
205d0a1e-5f0a-4c8e-8453-4b6d66117680,52.547833333332996,5.051569444444401,1,0,{'alcohol.beerCan': 1},False,alcohol.beerCan 1
